종목코드,종목명,현재가,전일대비,,등락률,거래량,매도호가,매수호가,시가,고가,저가
'900110,이스트아시아홀딩스,192,▼,-4,-2.04,7759435,192,191,198,198,186
'900270,헝셩그룹,298,▼,-4,-1.32,1079338,301,298,302,310,297
'900260,로스웰,275,▼,-11,-3.85,2512411,275,274,288,288,273
'900290,GRT,2585,▼,-90,-3.36,192385,2600,2585,2675,2675,2475
'900300,오가닉티코스메틱,222,▼,-1,-0.45,839801,222,221,225,227,220
'900310,컬러레이,807,▼,-35,-4.16,153192,809,807,830,845,776
'900340,윙입푸드,935,▼,-20,-2.09,355374,936,935,955,957,935
'000250,삼천당제약,30200, ,0,0,63049,30200,30150,30100,30750,29600
'000440,중앙에너비스,20700, ,0,0,64056,20750,20700,20800,22800,20350
'001000,신라섬유,1945,▼,-35,-1.77,86056,1945,1940,1975,1995,1930
'001540,안국약품,8200,▲,200,2.5,3801537,8200,8190,8010,9880,7930
'001810,무림SP,2470,▼,-50,-1.98,158065,2475,2470,2520,2535,2460
'001840,이화공영,4060,▼,-90,-2.17,66199,4085,4060,4135,4200,4050
'002230,피에스텍,3290,▼,-15,-0.45,1423,3355,3290,3300,3470,3290
'002290,삼일기업공사,3990,▼,-60,-1.48,108381,3995,3990,4045,4135,3950
'002680,한탑,1520,▼,-50,-3.18,315510,1520,1515,1570,1580,1500
'002800,신신제약,5170,▼,-80,-1.52,18727,5190,5170,5250,5300,5100
'003100,선광,114900,▼,-1700,-1.46,16750,115100,114900,116600,117500,114600
'003310,대주산업,2600,▼,-70,-2.62,1456247,2605,2600,2670,2675,2570
'003380,하림지주,6650,▲,10,0.15,58756,6650,6640,6640,6740,6620
'003800,에이스침대,35400,▼,-1000,-2.75,1848,35400,35200,35700,36700,35050
'004590,한국가구,4300,▼,-30,-0.69,25777,4300,4290,4335,4360,4290
'004650,창해에탄올,10950,▼,-250,-2.23,28144,11000,10950,11250,11250,10850
'004780,대륙제관,4205,▼,-5,-0.12,6310,4205,4200,4210,4225,4170
'005160,동국산업,4290,▼,-195,-4.35,538005,4290,4285,4485,4535,4280
'005290,동진쎄미켐,30650,▼,-50,-0.16,440155,30700,30650,31100,31200,30450
'005670,푸드웰,5520,▼,-70,-1.25,10857,5570,5520,5580,5650,5520
'005710,대원산업,5270, ,0,0,23051,5300,5270,5340,5380,5250
'005860,한일사료,5440,▼,-150,-2.68,1187099,5450,5440,5570,5640,5360
'005990,매일홀딩스,8230,▲,30,0.37,2104,8250,8230,8150,8350,8150
'006050,국영지앤엠,1255,▼,-5,-0.4,78971,1255,1250,1255,1290,1250
'006140,피제이전자,5860,▼,-150,-2.5,31107,5860,5850,5970,6010,5790
'006580,대양제지,3260, ,0,0,0,0,0,0,0,0
'006620,동구바이오제약,5650,▼,-170,-2.92,43883,5650,5610,5820,5820,5500
'006730,서부T&D,6540,▼,-120,-1.8,118790,6550,6540,6670,6700,6500
