Stock Code,Stock name, Price, Compared to the previous day,,fluctuation rate,Volume,sell price,buying price,open price, high price, low price
'000020,동화약품,9140,▼,-50,-0.54,79521,9180,9140,9180,9310,9090
'000040,KR모터스,557,▼,-10,-1.76,358470,560,557,579,579,557
'000050,경방,11000, ,0,0,1538,11000,10900,11000,11200,10900
'000060,메리츠화재,29450,▼,-100,-0.34,95816,29500,29450,29600,29900,29100
'000070,삼양홀딩스,60600,▼,-1400,-2.26,11107,60700,60600,61500,61800,60600
'000075,삼양홀딩스우,57800,▼,-1100,-1.87,92,57800,57600,59500,59500,57300
'000080,하이트진로,24950,▲,50,0.2,125376,25000,24950,24850,25100,24650
'000087,하이트진로2우B,16100,▼,-50,-0.31,674,16100,16000,16200,16200,15750
'000100,유한양행,59400,▲,1500,2.59,237156,59400,59300,58100,59400,57800
'000105,유한양행우,56200,▲,700,1.26,944,56200,55400,55800,56200,55000
'000120,CJ대한통운,80100,▲,300,0.38,24498,80100,80000,79800,80500,78900
'000140,하이트진로홀딩스,10000,▼,-100,-0.99,22247,10050,10000,10150,10150,9970
'000145,하이트진로홀딩스우,13350,▲,250,1.91,372,13350,12850,13150,13350,13150
'000150,두산,75500,▼,-2000,-2.58,231178,75600,75500,78300,78300,74100
'000155,두산우,48150,▼,-900,-1.83,4466,48150,47950,49550,50700,47850
'000157,두산2우B,80000,▲,500,0.63,505,80200,80000,79600,82000,79200
'000180,성창기업지주,1800,▲,10,0.56,69323,1800,1795,1800,1815,1785
'000210,DL,58300,▼,-1300,-2.18,50392,58400,58300,59000,59800,58200
'000215,DL우,33800,▼,-100,-0.29,595,33800,33150,33900,33900,33100
'000220,유유제약,5870,▼,-60,-1.01,25503,5900,5870,5940,6010,5870
'000225,유유제약1우,8030,▼,-70,-0.86,1575,8100,8020,8300,8300,7990
'000227,유유제약2우B,14800,▼,-100,-0.67,350,14800,14700,15050,15050,14650
'000230,일동홀딩스,24400,▲,50,0.21,278341,24450,24400,24450,25600,23800
'000240,한국앤컴퍼니,12000,▼,-250,-2.04,36030,12050,12000,12100,12300,12000
'000270,기아,65500,▼,-800,-1.21,1992922,65600,65500,67100,67100,64700
'000300,대유플러스,824,▼,-21,-2.49,334190,824,823,845,850,814
'000320,노루홀딩스,9920,▼,-130,-1.29,28870,9940,9920,10100,10100,9910
'000325,노루홀딩스우,21700,▼,-50,-0.23,2355,21750,21700,21750,21950,21700
'000370,한화손해보험,3545,▼,-100,-2.74,213342,3550,3545,3665,3670,3545
'000390,삼화페인트,6010,▼,-190,-3.06,17962,6040,6010,6210,6210,6010
'000400,롯데손해보험,1405,▲,15,1.08,288234,1405,1395,1385,1435,1350
'000430,대원강업,2515,▼,-65,-2.52,49892,2515,2510,2580,2590,2495
'000480,조선내화,76700,▲,400,0.52,472,76700,76100,77300,77300,76100
'000490,대동,9910,▼,-140,-1.39,197852,9920,9910,10100,10200,9910
'000500,가온전선,15100, ,0,0,8317,15350,15100,15350,15450,15100
'000520,삼일제약,7380,▼,-60,-0.81,98793,7390,7380,7440,7550,7340
'000540,흥국화재,2895,▼,-30,-1.03,18721,2895,2890,2925,2935,2885
'000545,흥국화재우,6390,▼,-90,-1.39,911,6450,6390,6480,6480,6370
'000547,흥국화재2우B,21800,▼,-150,-0.68,899,21800,21550,21900,21900,21100
'000590,CS홀딩스,53300,▼,-400,-0.74,808,53300,53100,53600,53800,52900
'000640,동아쏘시오홀딩스,99000,▲,200,0.2,1877,99700,99000,98700,99800,98700
'000650,천일고속,60800,▼,-700,-1.14,93,61800,60800,61900,61900,60800
'000660,SK하이닉스,93900,▲,400,0.43,3310322,93900,93800,93300,95500,93200
'000670,영풍,610000,▲,2000,0.33,1479,610000,609000,608000,617000,608000
'000680,LS네트웍스,2490,▲,20,0.81,58015,2495,2490,2500,2500,2460
'000700,유수홀딩스,6780,▲,220,3.35,522867,6780,6770,6560,7210,6490
'000720,현대건설,34000, ,0,0,828045,34050,34000,34150,34450,33500
'000725,현대건설우,55500,▼,-100,-0.18,1084,55600,55500,56300,56300,55500
'000760,이화산업,15200,▲,150,1,476,15200,14950,15050,15200,14950
'000810,삼성화재,196500,▲,2000,1.03,69733,196500,195500,194000,198000,194000
'000815,삼성화재우,156500,▲,1500,0.97,4772,156500,155500,155000,156500,154500
'000850,화천기공,30600,▲,50,0.16,2044,30800,30600,30850,31100,30200
'000860,강남제비스코,20950,▲,150,0.72,3332,20950,20850,20800,21050,20800
'000880,한화,24450,▲,100,0.41,143697,24450,24400,24400,24600,24250
'000885,한화우,29100,▼,-600,-2.02,336,29100,29000,29900,29900,29100
'00088K,한화3우B,13900,▼,-100,-0.71,30155,13900,13850,14150,14150,13800
'000890,보해양조,633,▼,-21,-3.21,358983,633,632,653,654,615
'000910,유니온,5320,▼,-230,-4.14,192945,5330,5320,5560,5580,5320
'000950,전방,68000,▲,1000,1.49,3162,68000,67300,68400,68400,67000
'000970,한국주철관,6790, ,0,0,18027,6790,6780,6790,6840,6770
'000990,DB하이텍,43800,▲,500,1.15,954661,43800,43750,43500,44300,42550
'000995,DB하이텍1우,97300,▼,-5200,-5.07,3761,97600,97300,98200,105000,96800
'001020,페이퍼코리아,1120,▼,-30,-2.61,441729,1130,1120,1160,1215,1120
'001040,CJ,70500,▼,-800,-1.12,27461,70600,70500,71200,72300,70400
'001045,CJ우,46650,▲,600,1.3,239,46700,46650,46250,46950,46250
'00104K,CJ4우(전환),64900,▼,-1400,-2.11,5576,65500,64900,66300,66300,64800
'001060,JW중외제약,18100,▼,-50,-0.28,29738,18100,18000,18050,18200,17800
'001065,JW중외제약우,34400,▲,400,1.18,252,34400,34100,33900,34400,33500
'001067,JW중외제약2우B,65100,▼,-100,-0.15,1,65000,64000,65100,65100,65100
'001070,대한방직,50900,▼,-300,-0.59,1271,51000,50900,51200,51200,50900
'001080,만호제강,30650,▼,-1900,-5.84,31995,30800,30650,32150,32500,30350
'001120,LX인터내셔널,40300,▼,-400,-0.98,182626,40350,40300,40650,41000,40050
'001130,대한제분,128000,▼,-1000,-0.78,891,128500,128000,129000,129500,128000
'001140,국보,827,▼,-13,-1.55,651963,828,827,846,847,810
'001200,유진투자증권,2240,▲,10,0.45,98349,2240,2230,2235,2265,2210
'001210,금호전기,995,▼,-10,-1,90295,1000,995,1025,1025,995
'001230,동국제강,11000,▼,-200,-1.79,291177,11050,11000,11300,11300,10950
'001250,GS글로벌,2575,▼,-80,-3.01,467016,2585,2575,2675,2685,2570
'001260,남광토건,8350,▼,-170,-2,14140,8370,8340,8650,8660,8340
'001270,부국증권,17950,▼,-700,-3.75,23557,17950,17900,18650,19000,17600
'001275,부국증권우,17500,▼,-600,-3.31,1892,17550,17500,18200,18250,17500
